Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;16/03/2017;1200;31;;
83914;17/03/2017;0000;;15.2;
83914;17/03/2017;1200;7.9;;
83914;18/03/2017;0000;;16.46;
83914;18/03/2017;1200;0;;
83914;19/03/2017;0000;;18.9;
83914;19/03/2017;1200;0;;
83914;20/03/2017;0000;;20;
83914;20/03/2017;1200;0;;
83914;21/03/2017;0000;;20.26;
83914;21/03/2017;1200;0;;
83914;22/03/2017;0000;;21.02;
83914;22/03/2017;1200;0;;
83914;23/03/2017;0000;;19.78;
83914;23/03/2017;1200;0;;
83914;24/03/2017;0000;;20.8;
83914;24/03/2017;1200;6.1;;
83914;25/03/2017;0000;;20.68;
83914;25/03/2017;1200;0;;
83914;26/03/2017;0000;;20.56;
83914;26/03/2017;1200;0;;
83914;27/03/2017;0000;;21.42;
83914;27/03/2017;1200;19;;
83914;28/03/2017;0000;;20.54;
83914;28/03/2017;1200;0;;
83914;29/03/2017;0000;;20.28;
83914;29/03/2017;1200;0;;
83914;30/03/2017;0000;;19.5;
83914;30/03/2017;1200;0;;
83914;31/03/2017;0000;;19.02;
83914;31/03/2017;1200;0;;
83914;01/04/2017;0000;;18.46;
83914;01/04/2017;1200;0;;
83914;02/04/2017;0000;;19.26;
83914;02/04/2017;1200;0;;
83914;03/04/2017;0000;;20.7;
83914;03/04/2017;1200;0;;
83914;04/04/2017;0000;;20.92;
83914;04/04/2017;1200;0;;
83914;05/04/2017;0000;;17.86;
83914;05/04/2017;1200;59.2;;
83914;06/04/2017;0000;;19.02;
83914;06/04/2017;1200;4.2;;
83914;07/04/2017;0000;;20.36;
83914;07/04/2017;1200;0;;
83914;08/04/2017;0000;;20.56;
83914;08/04/2017;1200;0;;
83914;09/04/2017;0000;;20.06;
83914;09/04/2017;1200;42.8;;
83914;10/04/2017;0000;;21.46;
83914;10/04/2017;1200;21.4;;
83914;11/04/2017;0000;;17.14;
83914;11/04/2017;1200;12.8;;
83914;12/04/2017;0000;;14.94;
83914;12/04/2017;1200;0.2;;
83914;13/04/2017;0000;;17.98;
83914;13/04/2017;1200;0;;
83914;14/04/2017;0000;;20.1;
83914;14/04/2017;1200;0;;
83914;15/04/2017;0000;;19.6;
83914;15/04/2017;1200;1.4;;
83914;16/04/2017;0000;;18.4;
83914;16/04/2017;1200;13.9;;
83914;17/04/2017;0000;;17.28;
83914;17/04/2017;1200;0;;
83914;18/04/2017;0000;;18.62;
83914;18/04/2017;1200;0;;
83914;19/04/2017;0000;;18.66;
83914;19/04/2017;1200;0;;
83914;20/04/2017;0000;;17.9;
83914;20/04/2017;1200;0;;
83914;21/04/2017;0000;;17.24;
83914;21/04/2017;1200;0.9;;
83914;22/04/2017;0000;;15.06;
83914;22/04/2017;1200;0;;
83914;23/04/2017;0000;;15.58;
83914;23/04/2017;1200;0;;
83914;24/04/2017;0000;;16.2;
83914;24/04/2017;1200;0.4;;
83914;25/04/2017;0000;;16.94;
83914;25/04/2017;1200;51.1;;
83914;26/04/2017;0000;;11.56;
83914;26/04/2017;1200;87.9;;
83914;27/04/2017;0000;;9.18;
83914;27/04/2017;1200;0.2;;
83914;28/04/2017;0000;;11.04;
83914;28/04/2017;1200;0;;
83914;29/04/2017;0000;;13.68;
83914;29/04/2017;1200;0;;
83914;30/04/2017;0000;;15.66;
